decision_id,order_id,selected_supplier_id,decided_at,agent_name,agent_version,confidence,selection_reason
DEC-000001,ORD-000001,SUP-029,2026-05-15T01:06:30.447Z,cluster-resolve-v1,1.0.0,0.83,Selected Upper Nile Rare Drugs based on optimal unit cost and historical fill rate reliability.
DEC-000002,ORD-000002,SUP-030,2026-05-23T21:39:06.864Z,cluster-resolve-v1,1.0.0,0.83,Selected Sinai Fast Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000003,ORD-000003,SUP-007,2026-01-07T19:37:49.453Z,cluster-resolve-v1,1.0.0,0.65,Procurement override: selected Upper Egypt Pharma Direct due to strategic volume contract despite higher per-unit quote.
DEC-000004,ORD-000004,SUP-022,2026-03-23T00:55:30.401Z,cluster-resolve-v1,1.0.0,0.85,Selected Mediterranean Med Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000005,ORD-000005,SUP-010,2026-06-21T09:54:03.861Z,cluster-resolve-v1,1.0.0,0.9,Selected Delta Prime Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000006,ORD-000006,SUP-011,2026-08-06T11:42:54.745Z,cluster-resolve-v1,1.0.0,0.9,Selected Apex National Pharma Logistic based on optimal unit cost and historical fill rate reliability.
DEC-000007,ORD-000007,SUP-015,2025-10-22T12:05:46.339Z,cluster-resolve-v1,1.0.0,0.89,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000008,ORD-000008,SUP-014,2026-08-07T12:36:42.185Z,cluster-resolve-v1,1.0.0,0.93,Selected Sphinx Healthcare Wholesale based on optimal unit cost and historical fill rate reliability.
DEC-000009,ORD-000009,SUP-016,2025-11-27T11:41:10.601Z,cluster-resolve-v1,1.0.0,0.96,Selected Amon Medical Supplies based on optimal unit cost and historical fill rate reliability.
DEC-000010,ORD-000010,SUP-004,2025-10-16T22:25:05.308Z,cluster-resolve-v1,1.0.0,0.85,Selected Cairo Valley Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000011,ORD-000011,SUP-004,2026-01-10T07:31:26.028Z,cluster-resolve-v1,1.0.0,0.72,Selected Cairo Valley Drug Distribution under emergency stock allocation.
DEC-000012,ORD-000012,SUP-016,2026-08-05T12:01:56.348Z,cluster-resolve-v1,1.0.0,0.72,Selected Amon Medical Supplies under emergency stock allocation.
DEC-000013,ORD-000013,SUP-028,2026-02-13T08:13:27.558Z,cluster-resolve-v1,1.0.0,0.87,Selected Al-Rowad Healthcare Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000014,ORD-000014,SUP-015,2026-04-22T13:44:57.868Z,cluster-resolve-v1,1.0.0,0.96,Selected Lotus Drug Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000015,ORD-000015,SUP-022,2026-06-04T09:27:23.544Z,cluster-resolve-v1,1.0.0,0.84,Selected Mediterranean Med Logistics based on optimal unit cost and historical fill rate reliability.
DEC-000016,ORD-000016,SUP-003,2026-08-06T23:33:31.234Z,cluster-resolve-v1,1.0.0,0.87,Selected Alexandria MedLog Wholesalers based on optimal unit cost and historical fill rate reliability.
DEC-000017,ORD-000017,SUP-028,2026-04-15T11:40:26.797Z,cluster-resolve-v1,1.0.0,0.89,Selected Al-Rowad Healthcare Distribution based on optimal unit cost and historical fill rate reliability.
DEC-000018,ORD-000018,SUP-026,2025-10-30T03:57:26.969Z,cluster-resolve-v1,1.0.0,0.5,Selected Al-Safwa Pharma Distro without a recorded decision-time offer; evidence arrived after allocation.
DEC-000019,ORD-000019,SUP-016,2026-08-09T04:30:35.916Z,cluster-resolve-v1,1.0.0,0.65,Procurement override: selected Amon Medical Supplies due to strategic volume contract despite higher per-unit quote.
